Nuclide,Isomeric,Z,Jp,DecayMode,BranchRatio,Ex_MeV,Q_MeV,Status,Hf_inequality,Hf,Hf_err_u,Hf_err_d,Hf_unit,Abundance_per,Abundance_err_per,Mass,Mass_err,IfSystematics,HalfLife_sec
1N,,0,1/2+,B-,100.00,0,0.782,unstable,EQUAL,10.183,0.017,0.017,M,,,8.0713,0,,6.11E+02
1H,,1,1/2+,,,0,0,stable,,,,,,99.9885,0.007,7.289,0,,0.00E+00
2H,,1,1+,,,0,0,stable,,,,,,0.0115,0.007,13.1357,0,,0.00E+00
3H,,1,1/2+,B-,100.00,0,0.019,unstable,EQUAL,12.32,0.02,0.02,Y,,,14.9498,0,,3.89E+08
4H,,1,2-,N,100.00,0,2.88,unstable,EQUAL,,,,,,,24.621,0.1,,0.00E+00
5H,,1,(1/2+),2N,100.00,0,1.8,unstable,EQUAL,5.7,2.1,2.1,MEV,,,32.892,0.089,,8.33E-23
6H,,1,(2-),N,100.00,0,0.9,unstable,EQUAL,1.6,0.4,0.4,MEV,,,41.875,0.254,,2.97E-22
7H,,1,(1/2+),2N?,,,0,unstable,EQUAL,29E-23,7e-23,7e-23,Y,,,47.935,0.351,,9.15E-15
3He,,2,1/2+,,,0,0,stable,,,,,,0.000134,0.000003,14.9312,0,,0.00E+00
4He,,2,0+,,,0,0,stable,,,,,,99.999866,3e-14,2.4249,0,,0.00E+00
5He,,2,3/2-,A,100.00,0,0.89,unstable,EQUAL,0.60,0.2,0.2,MEV,,,11.231,0.02,,7.91E-22
5He,,2,3/2-,N,100.00,0,0.89,unstable,EQUAL,0.60,0.2,0.2,MEV,,,11.231,0.02,,7.91E-22
6He,,2,0+,B-,100.00,0,3.508,unstable,EQUAL,801,10,10,MS,,,17.592,0,,8.01E-01
7He,,2,(3/2)-,N,,0,0.435,unstable,EQUAL,150,20,20,KEV,,,26.067,0.008,,3.16E-21
8He,,2,0+,B-,100.00,0,10.651,unstable,EQUAL,119.1,1.2,1.2,MS,,,31.609,0,,1.19E-01
8He,,2,0+,BN,16.00,0,8.619,unstable,EQUAL,119.1,1.2,1.2,MS,,,31.609,0,,1.19E-01
9He,,2,1/2+,N,100.00,0,1.27,unstable,EQUAL,,,,,,,39.78,0.06,,0.00E+00
10He,,2,0+,N,100.00,0,-0.202,unstable,EQUAL,300,200,200,KEV,,,48.809,0.07,,1.58E-21
3Li,,3,,P,?,,0,unbound,,,,,,,,28.667,2,S,0.00E+00
4Li,,3,2-,P,100.00,0,3.103,unstable,EQUAL,6.03,,,MEV,,,25.323,0.212,,7.87E-23
5Li,,3,3/2-,P,100.00,0,1.965,unstable,AP,1.5,,,MEV,,,11.678,0.05,,3.16E-22
5Li,,3,3/2-,A,100.00,0,1.965,unstable,AP,1.5,,,MEV,,,11.678,0.05,,3.16E-22
6Li,,3,1+,,,0,0,stable,,,,,,7.59,0.04,14.0869,0,,0.00E+00
7Li,,3,3/2-,,,0,0,stable,,,,,,92.41,0.04,14.9071,0,,0.00E+00
8Li,,3,2+,B-,100.00,0,16.005,unstable,EQUAL,839.9,0.9,0.9,MS,,,20.945,0,,8.40E-01
8Li,,3,2+,BA,100.00,0,0,unstable,EQUAL,839.9,0.9,0.9,MS,,,20.945,0,,8.40E-01
8Li,M,3,1+,IT,100.00,0.9808,0.981,unstable,EQUAL,8.2,2.3,2.3,FS,,,21.9258,0,,8.20E-15
9Li,,3,3/2-,B-,100.00,0,13.607,unstable,EQUAL,178.3,0.4,0.4,MS,,,24.954,0,,1.78E-01
9Li,,3,3/2-,BN,50.80,0,11.941,unstable,EQUAL,178.3,0.4,0.4,MS,,,24.954,0,,1.78E-01
10Li,,3,(1-,2-),N,100.00,0,0.025,unstable,EQUAL,,,,,,,33.052,0.012,,0.00E+00
11Li,,3,3/2-,B-,100.00,0,20.623,unstable,EQUAL,8.75,0.14,0.14,MS,,,40.728,0.001,,8.75E-03
11Li,,3,3/2-,BN,83.0,0,20.119,unstable,EQUAL,8.75,0.14,0.14,MS,,,40.728,0.001,,8.75E-03
11Li,,3,3/2-,B2N,4.1,0,20.12,unstable,EQUAL,8.75,0.14,0.14,MS,,,40.728,0.001,,8.75E-03
11Li,,3,3/2-,BNA,0.027,0,12.71,unstable,EQUAL,8.75,0.14,0.14,MS,,,40.728,0.001,,8.75E-03
12Li,,3,,N,?,,1.227,unstable,LT,10,,,NS,,,48.919,0.015,,1.00E-08
13Li,,3,,,,,0,unstable,EQUAL,,,,,,,58.341,0.35,,0.00E+00
5Be,,4,(1/2+),P,,,5.383,unstable,EQUAL,,,,,,,37.139,2.003,S,0.00E+00
6Be,,4,0+,P,100.00,0,-0.593,unstable,EQUAL,92,6,6,KEV,,,18.375,0.005,,5.16E-21
6Be,,4,0+,A,100.00,0,0,unstable,EQUAL,92,6,6,KEV,,,18.375,0.005,,5.16E-21
7Be,,4,3/2-,EC,100.00,0,0.862,unstable,EQUAL,53.24,0.04,0.04,D,,,15.768,0,,4.60E+06
8Be,,4,0+,A,100.00,0,0.092,unstable,EQUAL,5.57,0.25,0.25,EV,,,4.941,0,,8.52E-17
9Be,,4,3/2-,,,0,0,stable,,,,,,100,,11.348,0,,0.00E+00
10Be,,4,0+,B-,100.00,0,0.556,unstable,EQUAL,1.387E+6,0.0000000012,0.0000000012,Y,,,12.607,0,,4.38E+13
